Name;YT Scope Project;
File;C:\Users\Serafin Kollegger\Desktop\Scope Projekte\Volt2MitVentilation.csv;
Starttime of export;133601674680170000;Dienstag, 14. Mai 2024;15:37:48.017
Endtime of export;133601676399570000;Dienstag, 14. Mai 2024;15:40:39.957


Name;iTempSens1;iTempSens2;bHeating;rHeating
SampleTime[ms];10;10;10;10
SymbolBased;True;True;True;True
SymbolName;IFC_HW.iTempSens1;IFC_HW.iTempSens2;GVL_VIS.bHeating;GVL_VIS.rHeating
NetID;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1
Port;851;851;851;851

0;3773;3702;0;1.97916663
10;3773;3702;0;1.97916663
20;3773;3702;0;1.97916663
30;3773;3702;0;1.97916663
40;3773;3702;0;1.97916663
50;3773;3702;0;1.97916663
60;3773;3702;0;1.97916663
70;3773;3702;0;1.97916663
80;3773;3702;0;1.97916663
90;3773;3702;0;1.97916663
100;3773;3702;0;1.97916663
110;3773;3702;0;1.97916663
120;3773;3702;0;1.97916663
130;3773;3702;0;1.97916663
140;3773;3702;0;1.97916663
150;3773;3702;0;1.97916663
160;3773;3702;0;1.97916663
170;3773;3702;0;1.97916663
180;3773;3702;0;1.97916663
190;3773;3702;0;1.97916663
200;3773;3702;0;1.97916663
210;3773;3702;0;1.97916663
220;3773;3702;0;1.97916663
230;3773;3702;0;1.97916663
240;3773;3702;0;1.97916663
250;3773;3702;0;1.97916663
260;3773;3702;0;1.97916663
270;3773;3702;0;1.97916663
280;3773;3702;0;1.97916663
290;3773;3702;0;1.97916663
300;3773;3702;0;1.97916663
310;3773;3702;0;1.97916663
320;3773;3702;0;1.97916663
330;3773;3702;0;1.97916663
340;3773;3702;0;1.97916663
350;3773;3702;0;1.97916663
360;3773;3702;0;1.97916663
370;3773;3702;0;1.97916663
380;3773;3702;0;1.97916663
390;3773;3702;0;1.97916663
400;3773;3702;0;1.97916663
410;3773;3702;0;1.97916663
420;3773;3702;0;1.97916663
430;3773;3702;0;1.97916663
440;3773;3702;0;1.97916663
450;3773;3702;0;1.97916663
460;3773;3702;0;1.97916663
470;3773;3702;0;1.97916663
480;3773;3702;0;1.97916663
490;3773;3702;0;1.97916663
500;3773;3702;0;1.97916663
510;3773;3702;0;1.97916663
520;3773;3702;0;1.97916663
530;3773;3702;0;1.97916663
540;3773;3702;0;1.97916663
550;3773;3702;0;1.97916663
560;3773;3702;0;1.97916663
570;3773;3702;0;1.97916663
580;3773;3702;0;1.97916663
590;3773;3702;0;1.97916663
600;3773;3702;0;1.97916663
610;3768;3702;0;1.97916663
620;3768;3702;0;1.97916663
630;3768;3702;0;1.97916663
640;3768;3702;0;1.97916663
650;3768;3702;0;1.97916663
660;3768;3702;0;1.97916663
670;3768;3702;0;1.97916663
680;3768;3702;0;1.97916663
690;3768;3702;0;1.97916663
700;3768;3702;0;1.97916663
710;3768;3702;0;1.97916663
720;3768;3702;0;1.97916663
730;3768;3697;0;1.97916663
740;3768;3697;0;1.97916663
750;3768;3697;0;1.97916663
760;3768;3697;0;1.97916663
770;3768;3697;0;1.97916663
780;3768;3697;0;1.97916663
790;3768;3697;0;1.97916663
800;3768;3697;0;1.97916663
810;3768;3697;0;1.97916663
820;3768;3697;0;1.97916663
830;3768;3697;0;1.97916663
840;3768;3697;0;1.97916663
850;3768;3697;0;1.97916663
860;3768;3697;0;1.97916663
870;3768;3697;0;1.97916663
880;3768;3697;0;1.97916663
890;3768;3697;0;1.97916663
900;3768;3697;0;1.97916663
910;3768;3697;0;1.97916663
920;3768;3697;0;1.97916663
930;3768;3697;0;1.97916663
940;3768;3697;0;1.97916663
950;3768;3697;0;1.97916663
960;3768;3697;0;1.97916663
970;3768;3697;0;1.97916663
980;3768;3697;0;1.97916663
990;3768;3697;0;1.97916663
1000;3768;3697;0;1.97916663
1010;3768;3697;0;1.97916663
1020;3768;3697;0;1.97916663
1030;3768;3697;0;1.97916663
1040;3768;3697;0;1.97916663
1050;3768;3697;0;1.97916663
1060;3768;3697;0;1.97916663
1070;3768;3697;0;1.97916663
1080;3768;3697;0;1.97916663
1090;3768;3697;0;1.97916663
1100;3768;3697;0;1.97916663
1110;3768;3697;0;1.97916663
1120;3768;3697;0;1.97916663
1130;3768;3697;0;1.97916663
1140;3768;3697;0;1.97916663
1150;3768;3697;0;1.97916663
1160;3768;3697;0;1.97916663
1170;3768;3697;0;1.97916663
1180;3768;3697;0;1.97916663
1190;3768;3697;0;1.97916663
1200;3768;3697;0;1.97916663
1210;3768;3697;0;1.97916663
1220;3768;3697;0;1.97916663
1230;3768;3697;0;1.97916663
1240;3768;3697;0;1.97916663
1250;3768;3697;0;1.97916663
1260;3768;3697;0;1.97916663
1270;3768;3697;0;1.97916663
1280;3768;3697;0;1.97916663
1290;3768;3697;0;1.97916663
1300;3768;3697;0;1.97916663
1310;3768;3697;0;1.97916663
1320;3768;3697;0;1.97916663
1330;3768;3697;0;1.97916663
1340;3768;3697;0;1.97916663
1350;3768;3697;0;1.97916663
1360;3768;3697;0;1.97916663
1370;3768;3697;0;1.97916663
1380;3768;3697;0;1.97916663
1390;3768;3697;0;1.97916663
1400;3768;3697;0;1.97916663
1410;3768;3697;0;1.97916663
1420;3768;3697;0;1.97916663
1430;3768;3697;0;1.97916663
1440;3768;3697;0;1.97916663
1450;3768;3697;0;1.97916663
1460;3768;3697;0;1.97916663
1470;3768;3697;0;1.97916663
1480;3768;3697;0;1.97916663
1490;3768;3697;0;1.97916663
1500;3768;3697;0;1.97916663
1510;3768;3697;0;1.97916663
1520;3768;3697;0;1.97916663
1530;3768;3697;0;1.97916663
1540;3768;3697;0;1.97916663
1550;3768;3697;0;1.97916663
1560;3768;3697;0;1.97916663
1570;3768;3697;0;1.97916663
1580;3768;3697;0;1.97916663
1590;3762;3697;0;1.97916663
1600;3762;3697;0;1.97916663
1610;3762;3697;0;1.97916663
1620;3762;3697;0;1.97916663
1630;3762;3697;0;1.97916663
1640;3762;3697;0;1.97916663
1650;3762;3697;0;1.97916663
1660;3762;3697;0;1.97916663
1670;3762;3697;0;1.97916663
1680;3762;3697;0;1.97916663
1690;3762;3697;0;1.97916663
1700;3762;3697;0;1.97916663
1710;3762;3697;0;1.97916663
1720;3762;3692;0;1.97916663
1730;3762;3692;0;1.97916663
1740;3762;3692;0;1.97916663
1750;3762;3692;0;1.97916663
1760;3762;3692;0;1.97916663
1770;3762;3692;0;1.97916663
1780;3762;3692;0;1.97916663
1790;3762;3692;0;1.97916663
1800;3762;3692;0;1.97916663
1810;3762;3692;0;1.97916663
1820;3762;3692;0;1.97916663
1830;3762;3692;0;1.97916663
1840;3762;3692;0;1.97916663
1850;3762;3692;0;1.97916663
1860;3762;3692;0;1.97916663
1870;3762;3692;0;1.97916663
1880;3762;3692;0;1.97916663
1890;3762;3692;0;1.97916663
1900;3762;3692;0;1.97916663
1910;3762;3692;0;1.97916663
1920;3762;3692;0;1.97916663
1930;3762;3692;0;1.97916663
1940;3762;3692;0;1.97916663
1950;3762;3692;0;1.97916663
1960;3762;3692;0;1.97916663
1970;3762;3692;0;1.97916663
1980;3762;3692;0;1.97916663
1990;3762;3692;0;1.97916663
2000;3762;3692;0;1.97916663
2010;3762;3692;0;1.97916663
2020;3762;3692;0;1.97916663
2030;3762;3692;0;1.97916663
2040;3762;3692;0;1.97916663
2050;3762;3692;0;1.97916663
2060;3762;3692;0;1.97916663
