Name;YT Scope Project;
File;C:\Users\Serafin Kollegger\Desktop\TestNeu.csv;
Starttime of export;133626855983110000;Mittwoch, 12. Juni 2024;19:06:38.311
Endtime of export;133626858704510000;Mittwoch, 12. Juni 2024;19:11:10.451


Name;iTempSens1;iTempSens2;ryVolt;bEnable
SampleTime[ms];10;10;10;10
SymbolBased;True;True;True;True
SymbolName;IFC_HW.iTempSens1;IFC_HW.iTempSens2;PRG_Setup.fbTempCtrl.ryVolt;PRG_Setup.fbTempCtrl.bEnable
NetID;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1
Port;851;851;851;851

1750;3014;2985;0.247271448;0
1760;3014;2985;0.2472715;0
1770;3014;2985;0.247271568;0
1780;3014;2985;0.247271612;0
1790;3014;2985;0.247271687;0
1800;3014;2985;0.247271731;0
1810;3014;2985;0.2472718;0
1820;3014;2985;0.247271851;0
1830;3014;2985;0.2472719;0
1840;3014;2985;0.24727197;0
1850;3014;2985;0.247272044;0
1860;3014;2985;0.247272089;0
1870;3014;2985;0.247272164;0
1880;3014;2985;0.247272208;0
1890;3014;2985;0.247272253;0
1900;3014;2985;0.247272328;0
1910;3014;2985;0.247272372;0
1920;3014;2985;0.247272447;0
1930;3014;2985;0.247272491;0
1940;3014;2985;0.247272566;0
1950;3014;2985;0.247272611;0
1960;3014;2985;0.247272655;0
1970;3014;2985;0.24727273;0
1980;3014;2985;0.2472728;0
1990;3014;2985;0.247272849;1
2000;3014;2985;0.247272924;1
2010;3014;2985;2.26555562;1
2020;3014;2985;2.26565647;1
2030;3014;2985;2.26575732;1
2040;3014;2985;2.26585841;1
2050;3014;2985;2.2659595;1
2060;3014;2985;2.26606035;1
2070;3014;2985;2.2661612;1
2080;3014;2985;2.26626229;1
2090;3014;2985;2.26636314;1
2100;3014;2985;2.266464;1
2110;3014;2985;2.266565;1
2120;3014;2985;2.26666617;1
2130;3014;2985;2.266767;1
2140;3014;2985;2.26686788;1
2150;3019;2985;2.26196861;1
2160;3019;2985;2.26206946;1
2170;3019;2985;2.26217;1
2180;3019;2985;2.26227069;1
2190;3019;2985;2.26237154;1
2200;3019;2985;2.26247215;1
2210;3019;2985;2.262573;1
2220;3019;2985;2.26267362;1
2230;3019;2985;2.26277423;1
2240;3019;2985;2.262875;1
2250;3019;2985;2.26297569;1
2260;3019;2985;2.26307654;1
2270;3019;2978;2.2701776;1
2280;3019;2978;2.27027869;1
2290;3019;2978;2.27037978;1
2300;3019;2978;2.27048063;1
2310;3019;2978;2.27058172;1
2320;3019;2978;2.27068281;1
2330;3019;2978;2.270784;1
2340;3019;2978;2.270885;1
2350;3019;2978;2.27098584;1
2360;3019;2978;2.271087;1
2370;3019;2978;2.271188;1
2380;3019;2978;2.271289;1
2390;3019;2978;2.2713902;1
2400;3019;2978;2.27149129;1
2410;3019;2978;2.27159214;1
2420;3019;2978;2.27169323;1
2430;3019;2978;2.27179432;1
2440;3019;2978;2.27189541;1
2450;3019;2978;2.2719965;1
2460;3019;2978;2.27209735;1
2470;3019;2978;2.27219844;1
2480;3019;2978;2.27229953;1
2490;3019;2978;2.27240062;1
2500;3019;2978;2.27250171;1
2510;3019;2978;2.2726028;1
2520;3019;2978;2.272704;1
2530;3019;2978;2.272805;1
2540;3019;2978;2.272906;1
2550;3019;2978;2.27300715;1
2560;3019;2978;2.27310824;1
2570;3019;2978;2.273209;1
2580;3019;2978;2.27331018;1
2590;3019;2978;2.27341127;1
2600;3019;2978;2.27351236;1
2610;3019;2978;2.27361345;1
2620;3019;2978;2.27371454;1
2630;3019;2978;2.27381539;1
2640;3019;2978;2.27391648;1
2650;3019;2978;2.27401757;1
2660;3019;2978;2.27411866;1
2670;3019;2978;2.27421975;1
2680;3019;2978;2.2743206;1
2690;3019;2978;2.27442169;1
2700;3019;2978;2.27452278;1
2710;3019;2978;2.27462387;1
2720;3019;2978;2.274725;1
2730;3019;2978;2.274826;1
2740;3019;2978;2.274927;1
2750;3019;2978;2.275028;1
2760;3019;2978;2.275129;1
2770;3019;2978;2.27523017;1
2780;3019;2978;2.27533126;1
2790;3019;2978;2.27543235;1
2800;3019;2978;2.27553344;1
2810;3019;2978;2.27563453;1
2820;3019;2978;2.27573562;1
2830;3019;2978;2.27583671;1
2840;3019;2978;2.2759378;1
2850;3019;2978;2.27603865;1
2860;3019;2978;2.27613974;1
2870;3019;2978;2.27624083;1
2880;3019;2978;2.276342;1
2890;3019;2978;2.276443;1
2900;3019;2978;2.27654386;1
2910;3019;2978;2.276645;1
2920;3019;2978;2.276746;1
2930;3019;2978;2.27684712;1
2940;3019;2978;2.27694821;1
2950;3019;2978;2.2770493;1
2960;3019;2978;2.27715015;1
2970;3019;2978;2.27725124;1
2980;3019;2978;2.27735233;1
2990;3019;2978;2.27745342;1
3000;3019;2978;2.27755451;1
3010;3019;2978;2.27765536;1
3020;3019;2978;2.27775645;1
3030;3019;2978;2.27785754;1
3040;3019;2978;2.27795863;1
3050;3019;2978;2.27805972;1
3060;3019;2978;2.27816081;1
3070;3019;2978;2.278262;1
3080;3019;2978;2.278363;1
3090;3019;2978;2.278464;1
3100;3019;2978;2.27856517;1
3110;3019;2978;2.27866626;1
3120;3019;2978;2.278767;1
3130;3014;2978;2.28386879;1
3140;3014;2978;2.28397;1
3150;3014;2978;2.28407145;1
3160;3014;2978;2.28417277;1
3170;3014;2978;2.28427386;1
3180;3014;2978;2.28437519;1
3190;3014;2978;2.28447652;1
3200;3014;2978;2.284578;1
3210;3014;2978;2.28467917;1
3220;3014;2978;2.2847805;1
3230;3014;2978;2.28488183;1
3240;3014;2978;2.28498316;1
3250;3014;2978;2.28508449;1
3260;3014;2983;2.28018522;1
3270;3014;2983;2.28028631;1
3280;3014;2983;2.2803874;1
3290;3014;2983;2.28048849;1
3300;3014;2983;2.28058934;1
3310;3014;2983;2.28069043;1
3320;3014;2983;2.28079152;1
3330;3014;2983;2.28089261;1
3340;3014;2983;2.2809937;1
3350;3014;2983;2.28109479;1
3360;3014;2983;2.28119564;1
3370;3014;2983;2.28129673;1
3380;3014;2983;2.28139782;1
3390;3014;2983;2.281499;1
3400;3014;2983;2.2816;1
3410;3014;2983;2.28170085;1
3420;3014;2983;2.281802;1
3430;3014;2983;2.281903;1
3440;3014;2983;2.282004;1
3450;3014;2983;2.28210521;1
3460;3014;2983;2.2822063;1
3470;3014;2983;2.28230739;1
3480;3014;2983;2.28240848;1
3490;3014;2983;2.28250957;1
3500;3014;2983;2.28261065;1
3510;3014;2983;2.28271174;1
3520;3014;2983;2.2828126;1
3530;3014;2983;2.28291368;1
3540;3014;2983;2.28301477;1
3550;3014;2983;2.28311586;1
3560;3014;2983;2.283217;1
3570;3014;2983;2.283318;1
3580;3014;2983;2.283419;1
3590;3014;2983;2.28352;1
3600;3014;2983;2.283621;1
3610;3014;2983;2.28372216;1
3620;3014;2983;2.28382325;1
3630;3014;2983;2.283924;1
3640;3014;2983;2.28402519;1
3650;3014;2983;2.28412628;1
3660;3014;2983;2.28422737;1
3670;3014;2983;2.28432846;1
3680;3014;2983;2.28442955;1
3690;3014;2983;2.2845304;1
3700;3014;2983;2.28463149;1
3710;3014;2983;2.28473258;1
3720;3014;2983;2.28483367;1
3730;3014;2983;2.28493476;1
3740;3014;2983;2.28503585;1
3750;3014;2983;2.285137;1
3760;3014;2983;2.285238;1
3770;3014;2983;2.285339;1
3780;3014;2983;2.28544021;1
3790;3014;2983;2.2855413;1
3800;3014;2983;2.28564215;1
3810;3014;2983;2.28574324;1
3820;3014;2983;2.28584433;1
3830;3014;2983;2.28594542;1
3840;3014;2983;2.2860465;1
3850;3014;2983;2.28614736;1
3860;3014;2983;2.28624845;1
3870;3014;2983;2.28634953;1
3880;3014;2983;2.28645062;1
3890;3014;2983;2.28655171;1
3900;3014;2983;2.2866528;1
3910;3014;2983;2.28675365;1
3920;3014;2983;2.28685474;1
3930;3014;2983;2.28695583;1
3940;3014;2983;2.287057;1
3950;3014;2983;2.287158;1
3960;3014;2983;2.28725886;1
3970;3014;2983;2.28736;1
3980;3014;2983;2.287461;1
3990;3014;2983;2.28756213;1
4000;3014;2983;2.28766322;1
4010;3014;2983;2.28776431;1
4020;3014;2983;2.2878654;1
4030;3014;2983;2.28796649;1
4040;3014;2983;2.28806758;1
4050;3014;2983;2.28816867;1
4060;3014;2983;2.28826976;1
4070;3014;2983;2.28837061;1
4080;3014;2983;2.2884717;1
4090;3014;2983;2.28857279;1
4100;3014;2983;2.28867388;1
4110;3014;2983;2.288775;1
4120;3019;2983;2.2838757;1
4130;3019;2983;2.28397655;1
4140;3019;2983;2.28407741;1
4150;3019;2983;2.28417826;1
4160;3019;2983;2.28427887;1
4170;3019;2983;2.28437972;1
4180;3019;2983;2.28448057;1
4190;3019;2983;2.28458142;1
4200;3019;2983;2.284682;1
4210;3019;2983;2.28478312;1
4220;3019;2983;2.28488374;1
4230;3019;2983;2.28498459;1
4240;3019;2981;2.28708553;1
4250;3019;2981;2.28718638;1
4260;3019;2981;2.28728747;1
4270;3019;2981;2.28738832;1
4280;3019;2981;2.28748918;1
4290;3019;2981;2.28759;1
4300;3019;2981;2.28769088;1
4310;3019;2981;2.287792;1
4320;3019;2981;2.287893;1
4330;3019;2981;2.287994;1
4340;3019;2981;2.28809476;1
4350;3019;2981;2.28819561;1
4360;3019;2981;2.28829646;1
